partida,capitulo,area,nombre_partida,nombre_capitulo,nombre_area,count,sum
09,01,014,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SECREDUC REGIÓN V,3127,428884211402
09,01,019,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SECREDUC REGIÓN VI,1718,259123191261
09,01,023,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SECREDUC REGIÓN VII,2766,321513715591
09,01,025,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE TALCA,544,160842176
09,01,026,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE LINARES,809,130945754
09,01,028,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SECREDUC REGIÓN VIII,2231,677907143588
09,01,029,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE ÑUBLE,489,189098822
09,01,030,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE BÍO BÍO,461,224780373
09,01,031,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE CONCEPCIÓN,608,217005339
09,01,032,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE ARAUCO,500,245812973
09,01,033,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SECREDUC REGIÓN IX,1657,353725216837
09,01,037,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SECREDUC REGIÓN X,1889,315966187203
09,01,038,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE VALDIVIA,1481,91953521
09,01,039,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE OSORNO,1048,250185341
09,01,040,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE LLANQUIHUE,515,199111484
09,01,041,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE CHILOÉ,1040,175820601
09,01,043,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SECREDUC REGIÓN XI,1114,59072459827
09,01,045,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SECREDUC REGIÓN XII,1086,60445142235
09,01,046,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE MAGALLANES,523,93720758
09,01,001,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SECREDUC REGIÓN I,1253,116209902715
09,01,047,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SECREDUC REGIÓN XIII,1948,1418079885930
09,01,004,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SECREDUC REGIÓN II,1226,169172234917
09,01,049,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE SANTIAGO SUR,173,218219666
09,01,050,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE SANTIAGO ORIENTE,92,111255737
09,01,052,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE TALAGANTE,284,196145531
09,01,053,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE CORDILLERA,296,136818581
09,01,055,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SUBSECRETARÍA RECURSOS FINANCIEROS,22,7877788171
09,01,006,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE ANTOFAGASTA,346,150109270
09,01,007,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SECREDUC REGIÓN III,1686,100934132059
09,01,010,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SECREDUC REGIÓN IV,1592,248992145466
09,01,056,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SUBSECRETARÍA NIVEL CENTRAL,9734,1395148738742
09,01,011,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE ELQUI,406,199134420
09,01,057,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,C P E I P,1189,13913691311
09,01,059,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,UNIDAD NACIONAL DE REMUNERACIONES,3396,89482922564
09,01,012,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE LIMARÍ,568,279543677
09,01,082,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SECREDUC REGIÓN XV,1107,85446392211
09,01,084,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,SECREDUC REGIÓN XIV,1338,137395176181
09,01,013,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE CHOAPA,626,152559647
09,01,085,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL RANCO,451,89457300
09,01,024,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE CURICO,497,96768801
09,01,027,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE CAUQUENES,409,99854065
09,01,003,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE IQUIQUE,535,56491573
09,01,005,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE EL LOA,558,150999472
09,01,016,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE SAN FELIPE,316,98934410
09,01,021,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE COLCHAGUA,780,77944936
09,01,009,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE HUASCO,895,145588020
09,01,035,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE CAUTÍN NORTE,371,379083642
09,01,036,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE CAUTÍN SUR,374,193288627
09,01,015,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE QUILLOTA,669,145148399
09,01,017,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE VALPARAÍSO,631,143559351
09,01,018,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE SAN ANTONIO,848,72098651
09,01,020,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE CACHAPOAL,970,99713433
09,01,022,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE CARDENAL CARO,462,47826115
09,01,042,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE PALENA,255,109213833
09,01,044,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE COYHAIQUE,698,80700218
09,01,008,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE COPIAPÓ,597,79345800
09,01,048,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE SANTIAGO CENTRO,40,91357071
09,01,051,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE SANTIAGO PONIENTE,55,144312849
09,01,054,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE SANTIAGO NORTE,171,129887158
09,01,034,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE MALLECO,557,218334803